duid,station_name,region,dispatch_type,fuel_source,technology,fueltech,reg_cap_mw
HPR1,Hornsdale Power Reserve,SA1,Bidirectional Unit,Wind,Battery and Inverter,battery,150
HUGSF1,Hughenden Solar Farm,QLD1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,20.97
HUMENSW,Hume (NSW) Hydro Power Station,NSW1,Generating Unit,Water,Hydro - Gravity,hydro,29
HUMEV,Hume (Vic) Hydro Power Station,VIC1,Generating Unit,Water,Hydro - Gravity,hydro,29
HUNTER1,Hunter Power Station,NSW1,Generating Unit,Natrual Gas/ Diesel,OCGT,gas_ocgt,375
HUNTER2,Hunter Power Station,NSW1,Generating Unit,Natrual Gas/ Diesel,OCGT,gas_ocgt,375
HVWWBA1,Happy Valley Water Treatment Plant,SA1,Bidirectional Unit,Grid,Battery and Inverter,battery,5
HVWWPV1,Happy Valley Water Treatment Plant,SA1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,11
ICSM,ISIS Central Sugar Mill Co-generation Plant,QLD1,Generating Unit,Bagasse,Steam Sub-Critical,bioenergy,25
INVICTA,Invicta Sugar Mill,QLD1,Generating Unit,Bagasse,Steam Sub-Critical,bioenergy,50.3
JACKSGUL,Jacks Gully Landfill Gas Power Station,NSW1,Generating Unit,Landfill Methane / Landfill Gas,Compression Reciprocating Engine,bioenergy,2.3
JBUTTERS,John Butters Power Station,TAS1,Generating Unit,Water,Hydro - Gravity,hydro,144
JEMALNG1,Jemalong Solar Project,NSW1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,55
JLA01,"Jeeralang ""A"" Power Station",VIC1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,51
JLA02,"Jeeralang ""A"" Power Station",VIC1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,51
JLA03,"Jeeralang ""A"" Power Station",VIC1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,51
JLA04,"Jeeralang ""A"" Power Station",VIC1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,51
JLB01,"Jeeralang ""B"" Power Station",VIC1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,76
JLB02,"Jeeralang ""B"" Power Station",VIC1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,76
JLB03,"Jeeralang ""B"" Power Station",VIC1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,76
JNDABNE1,Jindabyne Small Hydro Power Station,NSW1,Generating Unit,Water,Hydro - Gravity,hydro,1.1
JOUNAMA1,Jounama Small Hydro Power Station,NSW1,Generating Unit,Water,Hydro - Gravity,hydro,14
JUNEESF1,Junee Solar Farm,NSW1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,36
KABANWF1,Kaban Wind Farm,QLD1,Generating Unit,Wind,Wind - Onshore,wind,156
KAREEYA1,Kareeya Power Station,QLD1,Generating Unit,Water,Run of River,hydro,21
KAREEYA2,Kareeya Power Station,QLD1,Generating Unit,Water,Run of River,hydro,21
KAREEYA3,Kareeya Power Station,QLD1,Generating Unit,Water,Run of River,hydro,21
KAREEYA4,Kareeya Power Station,QLD1,Generating Unit,Water,Run of River,hydro,21
KAREEYA5,Kareeya Power Station,QLD1,Generating Unit,Water,Run of River,hydro,7
KARSF1,Karadoc Solar Farm,VIC1,Generating Unit,Solar,Photovoltaic Flat panel,solar,104
KEEPIT,Keepit Hydro Power Station,NSW1,Generating Unit,Water,Hydro - Gravity,hydro,6
KEPBG1,Kennedy Energy Park Battery,QLD1,Generating Unit,Grid,Battery,battery,2
KEPBL1,Kennedy Energy Park Battery,QLD1,Load,Grid,Battery,battery,2
KEPSF1,Kennedy Energy Park,QLD1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,16
KEPWF1,Kennedy Energy Park,QLD1,Generating Unit,Wind,Wind - Onshore,wind,43
KERNGSP1,Kerang Solar Plant,VIC1,Generating Unit,Solar,Photovoltaic Tracking Flat Panel,solar,37
KESSB1,Koorangie Energy Storage System,VIC1,Bidirectional Unit,Grid,Battery and Inverter,battery,185
KIAMSF1,Kiamal Solar Farm,VIC1,Generating Unit,Solar,Photovoltaic Tracking Flat Panel,solar,239
KIATAWF1,Kiata Wind Farm,VIC1,Generating Unit,Wind,Wind - Onshore,wind,31.05
KIDSPHG1,Kidston Hydro Project,QLD1,Generating Unit,Water,Pump Storage,hydro,126
KINGASF1,Kingaroy Solar Farm,QLD1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,47
KPP_1,Kogan Creek Power Station,QLD1,Generating Unit,Black Coal,Steam Super Critical,coal_black,744
KSP1,Kidston Solar Project Phase One,QLD1,Generating Unit,Solar,Photovoltaic Flat panel,solar,50
LADBROK1,Ladbroke Grove Power Station,SA1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,40
LADBROK2,Ladbroke Grove Power Station,SA1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,40
LANCSF1,Lancaster Solar Farm,VIC1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,94
LBB1,Lake Bonney BESS1,SA1,Bidirectional Unit,Grid,Battery,battery,25
LDBESS1,Liddell Battery Energy Storage System,NSW1,Bidirectional Unit,Grid,Battery and Inverter,battery,755.08
LEM_WIL,Lemonthyme / Wilmot Power Station,TAS1,Generating Unit,Water,Hydro - Gravity,hydro,81.6
LGAPBS1,Lincoln Gap Wind Farm Battery,SA1,Bidirectional Unit,Grid,Battery and Inverter,battery,10.8
LGAPWF1,Lincoln Gap Wind Farm,SA1,Generating Unit,Wind,Wind - Onshore,wind,126
LGAPWF2,Lincoln Gap Wind Farm,SA1,Generating Unit,Wind,Wind - Onshore,wind,86
LILYSF1,Lilyvale Solar Farm,QLD1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,118
LIMBESS1,Limondale Battery,NSW1,Bidirectional Unit,Grid,Battery and Inverter,battery,141
LIMOSF11,Limondale Solar Farm 1,NSW1,Generating Unit,Solar,Photovoltaic Tracking Flat Panel,solar,275
LIMOSF21,Limondale Solar Farm 2,NSW1,Generating Unit,Solar,Photovoltaic Tracking Flat Panel,solar,38
LI_WY_CA,Catagunya / Liapootah / Wayatinah Power Station,TAS1,Generating Unit,Water,Hydro - Gravity,hydro,173.7
LKBONNY1,Lake Bonney Wind Farm Stage 1,SA1,Generating Unit,Wind,Wind - Onshore,wind,80.5
LKBONNY2,Lake Bonney Stage 2 Windfarm,SA1,Generating Unit,Wind,Wind - Onshore,wind,159
LKBONNY3,Lake Bonney Stage 3 Wind Farm,SA1,Generating Unit,Wind,Wind - Onshore,wind,39
