duid,station_name,region,dispatch_type,fuel_source,technology,fueltech,reg_cap_mw
ROWALLAN,Rowallan Power Station,TAS1,Generating Unit,Water,Hydro - Gravity,hydro,10.5
ROYALLA1,Royalla Solar Farm,NSW1,Generating Unit,Solar,Photovoltaic Flat panel,solar,20
RPCG,Rocky Point Cogeneration Plant,QLD1,Generating Unit,Bagasse,Steam Sub-Critical,bioenergy,30
RRSF1,Ross River Solar Farm,QLD1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,128
RUBICON,Rubicon Mountain Streams Station,VIC1,Generating Unit,Water,Hydro - Gravity,hydro,13
RUGBYR1,Rugby Run Solar Farm,QLD1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,83
RYANCWF1,Ryan Corner Wind Farm,VIC1,Generating Unit,Wind,Wind - Onshore,wind,218.4
RYEPARK1,Rye Park Renewable Energy,NSW1,Generating Unit,Wind,Wind - Onshore,wind,396
SALTCRK1,Salt Creek Wind Farm,VIC1,Generating Unit,Wind,Wind - Onshore,wind,54
SAPHWF1,Sapphire Wind Farm,NSW1,Generating Unit,Wind,Wind - Onshore,wind,270
SEBSF1,Sebastopol Solar Farm,NSW1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,110
SHEP1,Shepparton Wastewater Treatment Facility,VIC1,Generating Unit,Sewerage / Waste Water,Compression Reciprocating Engine,hydro,1.1
SHGEN,Shoalhaven Power Station (Bendeela And Kangaroo Valley Power Station And Pumps),NSW1,Generating Unit,Water,Hydro - Gravity,hydro,240
SHOAL1,Shoalhaven Starches Cogeneration Plant,NSW1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,54
SHPUMP,Shoalhaven Power Station (Bendeela And Kangaroo Valley Power Station And Pumps),NSW1,Load,-,-,other,240
SITHE01,Smithfield Energy Facility,NSW1,Generating Unit,Natural Gas,Combined Cycle Gas Turbine (CCGT),gas_ccgt,125
SKSF1,South Keswick Solar Farm,NSW1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,15
SMCSF1,Sun Metals Solar Farm,QLD1,Generating Unit,Solar,Photovoltaic Flat panel,solar,143
SMTHBES1,"Smithfield Battery Energy Storage System, Units 1 - 36",NSW1,Bidirectional Unit,Grid,Battery and Inverter,battery,69.4
SNAPPER1,Snapper Point Power Station,SA1,Generating Unit,Diesel,Open Cycle Gas turbines (OCGT),gas_ocgt,154
SNB01,Supernode BESS,QLD1,Bidirectional Unit,Grid,Battery and Inverter,battery,337.4
SNB02,Supernode BESS,QLD1,Bidirectional Unit,Grid,Battery and Inverter,battery,337.4
SNOWNTH1,Snowtown Wind Farm Stage 2 North,SA1,Generating Unit,Wind,Wind - Onshore,wind,144
SNOWSTH1,Snowtown South Wind Farm,SA1,Generating Unit,Wind,Wind - Onshore,wind,126
SNOWTWN1,Snowtown Wind Farm Units 1 And 47,SA1,Generating Unit,Wind,Wind - Onshore,wind,99
SNOWYP,Tumut 3 Pumps,NSW1,Load,Water,Hydro - Gravity,hydro,600
SNUG1,Snuggery Power Station,SA1,Generating Unit,Diesel,Open Cycle Gas turbines (OCGT),gas_ocgt,63
SNUG2,Snuggery Power Station,SA1,Generating Unit,Diesel,Open Cycle Gas turbines (OCGT),gas_ocgt,21
SNUG3,Snuggery Power Station,SA1,Generating Unit,Diesel,Open Cycle Gas turbines (OCGT),gas_ocgt,21
SNUGNL1,Snuggery Power Station,SA1,Generating Unit,Diesel,Open Cycle Gas turbines (OCGT),gas_ocgt,21
SRSF1,Susan River Solar Farm,QLD1,Generating Unit,Solar,Photovoltaic Flat panel,solar,85.26
STAN-1,Stanwell Power Station,QLD1,Generating Unit,Black Coal,Steam Sub-Critical,coal_black,365
STAN-2,Stanwell Power Station,QLD1,Generating Unit,Black Coal,Steam Sub-Critical,coal_black,365
STAN-3,Stanwell Power Station,QLD1,Generating Unit,Black Coal,Steam Sub-Critical,coal_black,365
STAN-4,Stanwell Power Station,QLD1,Generating Unit,Black Coal,Steam Sub-Critical,coal_black,365
STAPYLTON1,Stapylton Renewable Energy Facility,QLD1,Generating Unit,Landfill Methane / Landfill Gas,Spark Ignition Reciprocating Engine,bioenergy,3
STARHLWF,Starfish Hill Wind Farm,SA1,Generating Unit,Wind,Wind - Onshore,wind,34.5
STOCKYD1,Stockyard Hill Wind Farm,VIC1,Generating Unit,Wind,Wind - Onshore,wind,531
STUBSF1,Stubbo Solar Farm 1,NSW1,Generating Unit,Solar,Photovoltaic Flat panel,solar,255
STUBSF2,Stubbo Solar Farm 2,NSW1,Generating Unit,Solar,Photovoltaic Flat panel,solar,248
STWF1,Silverton Wind Farm,NSW1,Generating Unit,Wind,Wind - Onshore,wind,198.94
SUNRSF1,SUNRAYSIA SF,NSW1,Generating Unit,Solar,Photovoltaic Flat panel,solar,228
SUNTPSF1,Suntop Solar Farm,NSW1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,175
SWANBBF1,Swanbank BESS,QLD1,Bidirectional Unit,Grid,Battery and Inverter,battery,331.2
SWAN_E,Swanbank E Power Station,QLD1,Generating Unit,Natural Gas,Combined Cycle Gas Turbine (CCGT),gas_ccgt,385
TABMILL2,Tableland Mill Unit 2,QLD1,Generating Unit,Bagasse,Steam Super Critical,bioenergy,24
TAHMOOR1,Tahmoor Waste Coal Mine Gas Power Station,NSW1,Generating Unit,Waste Coal Mine Gas,Spark Ignition Reciprocating Engine,coal_black,7.042
TALWA1,Tallawarra Power Station,NSW1,Generating Unit,Natural Gas,Combined Cycle Gas Turbine (CCGT),gas_ccgt,440
TALWB1,Tallawarra Power Station,NSW1,Generating Unit,Natural Gas,Open Cycle Gas Turbine (OCGT),gas_ocgt,320
TARALGA1,Taralga Wind Farm,NSW1,Generating Unit,Wind,Wind - Onshore,wind,106.8
TARBESS1,Tarong BESS,QLD1,Bidirectional Unit,Grid,Battery and Inverter,battery,393
TARONG#1,Tarong Power Station,QLD1,Generating Unit,Black Coal,Steam Sub-Critical,coal_black,350
TARONG#2,Tarong Power Station,QLD1,Generating Unit,Black Coal,Steam Sub-Critical,coal_black,350
TARONG#3,Tarong Power Station,QLD1,Generating Unit,Black Coal,Steam Sub-Critical,coal_black,350
TARONG#4,Tarong Power Station,QLD1,Generating Unit,Black Coal,Steam Sub-Critical,coal_black,350
TARRALEA,Tarraleah Power Station,TAS1,Generating Unit,Water,Hydro - Gravity,hydro,90
TATIARA1,Tataria Bordertown Plant,SA1,Generating Unit,Diesel,Compression Reciprocating Engine,distillate,0.5
TATURA01,Tatura Biomass Generator,VIC1,Generating Unit,Sewerage / Waste Water,Compression Reciprocating Engine,hydro,1.1
TB2B1,Tailem Bend 2 Hybrid Renewable Power Station,SA1,Bidirectional Unit,Grid,Battery and Inverter,battery,50
TB2SF1,Tailem Bend 2 Hybrid Renewable Power Station,SA1,Generating Unit,Solar,Photovoltaic Flat Panel,solar,105
TBSF1,Tailem Bend Solar Project 1,SA1,Generating Unit,Solar,Photovoltaic Flat Panel,solar,108
TEMPB1,Templers Battery Energy Storage System,SA1,Bidirectional Unit,Grid,Battery and Inverter,battery,138
TGNSS1,Traralgon Network Support Station,VIC1,Generating Unit,Natural Gas,Spark Ignition Reciprocating Engine,gas_recip,10
THEDROP1,The Drop Power Station,NSW1,Generating Unit,Water,Run of River,hydro,2.5
TIB1,Torrens Island BESS,SA1,Bidirectional Unit,Grid,Battery and Inverter,battery,250
TIMWEST,Timboon West Wind Farm,VIC1,Generating Unit,Wind,Wind - Onshore,wind,7.2
TITREE,Veolia Ti Tree Bio Reactor,QLD1,Generating Unit,Landfill Methane / Landfill Gas,Compression Reciprocating Engine,bioenergy,2
TNPS1,Tarong North Power Station,QLD1,Generating Unit,Black Coal,Steam Super Critical,coal_black,443
TOORAWF,Toora Wind Farm,VIC1,Generating Unit,Wind,Wind - Onshore,wind,21
TORRB1,Torrens Island Power Station,SA1,Generating Unit,Natural Gas / Fuel Oil,Steam Sub-Critical,gas_steam,200
TORRB2,Torrens Island Power Station,SA1,Generating Unit,Natural Gas / Fuel Oil,Steam Sub-Critical,gas_steam,200
TORRB3,Torrens Island Power Station,SA1,Generating Unit,Natural Gas / Fuel Oil,Steam Sub-Critical,gas_steam,200
TORRB4,Torrens Island Power Station,SA1,Generating Unit,Natural Gas / Fuel Oil,Steam Sub-Critical,gas_steam,200
TOWER,Tower Power Plant,NSW1,Generating Unit,Waste Coal Mine Gas,Spark Ignition Reciprocating Engine,coal_black,41.2
TREVALLN,Trevallyn Power Station,TAS1,Generating Unit,Water,Hydro - Gravity,hydro,93
TRGBESS1,Terang BESS,VIC1,Bidirectional Unit,Grid,Battery and Inverter,battery,144.4
TRIBUTE,Tribute Power Station,TAS1,Generating Unit,Water,Hydro - Gravity,hydro,82.8
TULLYSM1,Tully Sugar Mill,QLD1,Generating Unit,Bagasse and Diesel,Steam Super Critical and Compression Reciprocating Engine,bioenergy,32
TUMUT3,Tumut 3 Power Station,NSW1,Generating Unit,Water,Hydro - Gravity,hydro,1500
TUNGATIN,Tungatinah Power Station,TAS1,Generating Unit,Water,Hydro - Gravity,hydro,125
TVCC201,Tamar Valley Combined Cycle Power Station,TAS1,Generating Unit,Natural Gas,Combined Cycle Gas Turbine (CCGT),gas_ccgt,208.6
TVPP104,Bell Bay Three Power Station,TAS1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,58
ULPBESS1,Ulinda Park BESS,QLD1,Bidirectional Unit,Grid,Battery and Inverter,battery,197
UPPTUMUT,Tumut Power Station,NSW1,Generating Unit,Water,Hydro - Gravity,hydro,616
URANQ11,Uranquinty Power Station,NSW1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,166
URANQ12,Uranquinty Power Station,NSW1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,166
URANQ13,Uranquinty Power Station,NSW1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,166
URANQ14,Uranquinty Power Station,NSW1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,166
VALDORA1,Valdora Solar Farm,QLD1,Generating Unit,Solar,Photovoltaic Flat panel,solar,15
VBB1,Victorian Big Battery,VIC1,Bidirectional Unit,Grid,Battery and Inverter,battery,360
VP5,"Vales Point ""B"" Power Station",NSW1,Generating Unit,Black Coal,Steam Sub-Critical,coal_black,660
VP6,"Vales Point ""B"" Power Station",NSW1,Generating Unit,Black Coal,Steam Sub-Critical,coal_black,660
VPGS1,Valley Power Peaking Facility,VIC1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,50
VPGS2,Valley Power Peaking Facility,VIC1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,50
VPGS3,Valley Power Peaking Facility,VIC1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,50
VPGS4,Valley Power Peaking Facility,VIC1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,50
VPGS5,Valley Power Peaking Facility,VIC1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,50
VPGS6,Valley Power Peaking Facility,VIC1,Generating Unit,Natural Gas,Open Cycle Gas turbines (OCGT),gas_ocgt,50
W/HOE#1,Wivenhoe Power Station,QLD1,Generating Unit,Water,Pump Storage,hydro,285
W/HOE#2,Wivenhoe Power Station,QLD1,Generating Unit,Water,Pump Storage,hydro,285
WAGGNSF1,Wagga North Solar Farm,NSW1,Generating Unit,Solar,Photovoltaic Tracking Flat Panel,solar,55
WALGRV1,Wallgrove BESS 1,NSW1,Bidirectional Unit,Grid,Battery and Inverter,battery,50
WAMBOWF1,Wambo Wind Farm 1,QLD1,Generating Unit,Wind,Wind - Onshore,wind,252
WAMBOWF2,Wambo Wind Farm 2,QLD1,Generating Unit,Wind,Wind - Onshore,wind,254
WANDB1,Wandoan Battery Energy Storage System (BESS),QLD1,Bidirectional Unit,Grid,Battery,battery,123
WANDSF1,Wandoan Solar Farm,QLD1,Generating Unit,Solar,Photovoltaic Flat Panel,solar,159
WANDSF2,Wandoan Solar Farm,QLD1,Generating Unit,Solar,Photovoltaic Flat Panel,solar,310
WARWSF1,Warwick Solar Farm 1,QLD1,Generating Unit,Solar,Photovoltaic Flat Panel,solar,39
WARWSF2,Warwick Solar Farm 2,QLD1,Generating Unit,Solar,Photovoltaic Flat Panel,solar,39
WATERLWF,Waterloo Wind Farm,SA1,Generating Unit,Wind,Wind - Onshore,wind,130.8
WAUBRAWF,Waubra Wind Farm,VIC1,Generating Unit,Wind,Wind - Onshore,wind,192
WDBESS1,Western Downs Battery Energy Storage System,QLD1,Bidirectional Unit,Grid,Battery and Inverter,battery,272.48
WDBESS2,Western Downs Battery Energy Storage System (BESS),QLD1,Bidirectional Unit,Grid,Battery and Inverter,battery,269.8
WDGPH1,Western Downs GPH,QLD1,Generating Unit,Solar,Photovoltaic Tracking Flat Panel,solar,501
WDLNGN01,Woodlawn Bioreactor Energy Generation Station,NSW1,Generating Unit,Landfill Methane / Landfill Gas,Compression Reciprocating Engine,bioenergy,7
WELLSF1,Wellington Solar Farm,NSW1,Generating Unit,Solar,Photovoltaic Tracking Flat Panel,solar,216
WELNSF1,Wellington North Solar Farm,NSW1,Generating Unit,Solar,Photovoltaic Tracking Flat Panel,solar,436
WEMENSF1,Wemen Solar Farm,VIC1,Generating Unit,Solar,Photovoltaic Tracking Flat Panel,solar,97.5
WESTILL1,West Illawarra Leagues Club Plant,NSW1,Generating Unit,Diesel,Compression Reciprocating Engine,distillate,1
WGWF1,Willogoleche Wind Farm,SA1,Generating Unit,Wind,Wind - Onshore,wind,122
WHILL1,Windy Hill Wind Farm,QLD1,Generating Unit,Wind,Wind - Onshore,wind,12
WHIT1,Whitwood Road Renewable Energy Facility,QLD1,Generating Unit,Landfill Methane / Landfill Gas,Compression Reciprocating Engine,bioenergy,1
WHITSF1,Whitsunday Solar Farm,QLD1,Generating Unit,Solar,Photovoltaic Tracking Flat Panel,solar,57.5
WILGAPK,Wilga Park Power Station,NSW1,Generating Unit,Coal Seam Methane,Spark Ignition Reciprocating Engine,coal_black,10
WILGB01,Wilga Park B,NSW1,Generating Unit,Coal Seam Methane,Spark Ignition Reciprocating Engine,coal_black,12
WILLHOV1,William Hovell Power Station,VIC1,Generating Unit,Water,Run of River,hydro,1.5
WINGF1_1,Wingfield 1 Landfill Gas Power Station,SA1,Generating Unit,Landfill Methane / Landfill Gas,Spark Ignition Reciprocating Engine,bioenergy,4.12
WINGF2_1,Wingfield 2 Landfill Gas Power Station,SA1,Generating Unit,Landfill Methane / Landfill Gas,Spark Ignition Reciprocating Engine,bioenergy,4.12
WINTSF1,Winton Solar Farm,VIC1,Generating Unit,Solar,Photovoltaic Tracking Flat Panel,solar,107
WKIEWA1,West Kiewa Power Station,VIC1,Generating Unit,Water,Hydro - Gravity,hydro,31
WKIEWA2,West Kiewa Power Station,VIC1,Generating Unit,Water,Hydro - Gravity,hydro,31
WLWLSF1,Walla Walla Solar Farm 1,NSW1,Generating Unit,Solar,Photovoltaic Flat Panel,solar,201.6
WLWLSF2,Walla Walla Solar Farm 2,NSW1,Generating Unit,Solar,Photovoltaic Flat Panel,solar,201.6
WNSF1,Wangaratta Solar Farm,VIC1,Generating Unit,Solar,Photovoltaic Tracking Flat Panel,solar,26.4
WOLARSF1,Wollar Solar Farm,NSW1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,324
WOLLERT1,Wollert Renewable Energy Facility,VIC1,Generating Unit,Landfill Methane / Landfill Gas,Spark Ignition Reciprocating Engine,bioenergy,7
WONWP,Wonthaggi Wind Farm,VIC1,Generating Unit,Wind,Wind - Onshore,wind,12
WOODLWN1,Woodlawn Wind Farm,NSW1,Generating Unit,Wind,Wind - Onshore,wind,48.3
WOOLES1,Woolooga BESS,QLD1,Bidirectional Unit,Grid,Battery and Inverter,battery,280
WOOLGSF1,Woolooga Solar Farm,QLD1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,222.5
WOOLNTH1,Woolnorth Studland Bay / Bluff Point Wind Farm,TAS1,Generating Unit,Wind,Wind - Onshore,wind,140
WPWF,Wattle Point Wind Farm,SA1,Generating Unit,Wind,Wind - Onshore,wind,90.75
WRSF1,White Rock Solar Farm,NSW1,Generating Unit,Solar,Photovoltaic Flat Panel,solar,22
WRWF1,White Rock Wind Farm,NSW1,Generating Unit,Wind,Wind - Onshore,wind,175
WSTWYSF1,West Wyalong Solar Farm,NSW1,Generating Unit,Solar,Photovoltaic Tracking Flat Panel,solar,105
WTAHB1,Waratah Super Battery,NSW1,Bidirectional Unit,Grid,Battery and Inverter,battery,1095.84
WUNUSF1,Wunghnu Solar Farm,VIC1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,93.5
WYANGALA,Wyangala A Power Station,NSW1,Generating Unit,Water,Hydro - Gravity,hydro,20
WYANGALB,Wyangala B Power Station,NSW1,Generating Unit,Water,Hydro - Gravity,hydro,4
WYASF1,Wyalong Solar Farm,NSW1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,62
YABULU,Townsville Gas Turbine,QLD1,Generating Unit,Natural Gas,Combined Cycle Gas Turbine (CCGT),gas_ccgt,160
YABULU2,Townsville Gas Turbine,QLD1,Generating Unit,Natural Gas,Combined Cycle Gas Turbine (CCGT),gas_ccgt,82
YAMBUKWF,Yambuk Wind Farm,VIC1,Generating Unit,Wind,Wind - Onshore,wind,30
YARANSF1,Yarranlea Solar Farm,QLD1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,121
YARWUN_1,Yarwun Power Station,QLD1,Generating Unit,Natural Gas,Combined Cycle Gas Turbine (CCGT),gas_ccgt,154
YATSF1,Yatpool Solar Farm,VIC1,Generating Unit,Solar,Photovoltaic Tracking Flat panel,solar,94
YAWWF1,Yawong Wind Farm,VIC1,Generating Unit,Wind,Wind - Onshore,wind,7.2
YENDWF1,Yendon Wind Farm,VIC1,Generating Unit,Wind,Wind - Onshore,wind,144.4
YSWF1,Yaloak South Wind Farm,VIC1,Generating Unit,Wind,Wind - Onshore,wind,28.7
YWNGAHYD,Yarrawonga Hydro Power Station,VIC1,Generating Unit,Water,Hydro - Gravity,hydro,9
YWPS1,Yallourn 'W' Power Station,VIC1,Generating Unit,Brown Coal,Steam Sub-Critical,coal_brown,360
YWPS2,Yallourn 'W' Power Station,VIC1,Generating Unit,Brown Coal,Steam Sub-Critical,coal_brown,360
YWPS3,Yallourn 'W' Power Station,VIC1,Generating Unit,Brown Coal,Steam Sub-Critical,coal_brown,380
YWPS4,Yallourn 'W' Power Station,VIC1,Generating Unit,Brown Coal,Steam Sub-Critical,coal_brown,380
